SEASON_ID,GAME_ID,GAME_DATE,HOME_TEAM,PTS_HOME,MIN_HOME,FGM_HOME,FGA_HOME,FG_PCT_HOME,FG3M_HOME,FG3A_HOME,FG3_PCT_HOME,FTM_HOME,FTA_HOME,FT_PCT_HOME,OREB_HOME,DREB_HOME,REB_HOME,AST_HOME,STL_HOME,BLK_HOME,TOV_HOME,PF_HOME,PLUS_MINUS_HOME,AWAY_TEAM,PTS_AWAY,MIN_AWAY,FGM_AWAY,FGA_AWAY,FG_PCT_AWAY,FG3M_AWAY,FG3A_AWAY,FG3_PCT_AWAY,FTM_AWAY,FTA_AWAY,FT_PCT_AWAY,OREB_AWAY,DREB_AWAY,REB_AWAY,AST_AWAY,STL_AWAY,BLK_AWAY,TOV_AWAY,PF_AWAY,PLUS_MINUS_AWAY,WINNING_TEAM
22009,0020900583,2010-01-15,POR,102,240,41,87,0.471,11,21,0.524,9,10,0.9,8,34,42,23,6,0,6,18,15.0,ORL,87,240,35,73,0.479,7,30,0.233,10,20,0.5,6,32,38,17,3,5,12,12,-15.0,POR
22009,0020900576,2010-01-15,MEM,135,240,55,94,0.585,11,23,0.478,14,16,0.875,11,34,45,33,10,6,9,17,25.0,MIN,110,241,43,90,0.478,5,12,0.417,19,24,0.792,13,24,37,20,4,3,12,19,-25.0,MEM
22009,0020900578,2010-01-15,NYK,104,241,38,86,0.442,11,29,0.379,17,20,0.85,10,32,42,20,5,2,13,20,-8.0,TOR,112,240,39,73,0.534,12,22,0.545,22,31,0.71,3,38,41,17,4,2,12,18,8.0,TOR
22009,0020900580,2010-01-15,HOU,106,239,37,76,0.487,11,21,0.524,21,25,0.84,8,28,36,20,6,4,15,21,-9.0,MIA,115,240,45,84,0.536,6,14,0.429,19,23,0.826,9,28,37,24,8,10,8,20,9.0,MIA
22009,0020900589,2010-01-16,OKC,98,238,38,75,0.507,6,12,0.5,16,20,0.8,9,36,45,23,7,3,20,16,18.0,MIA,80,240,34,82,0.415,1,8,0.125,11,20,0.55,12,21,33,17,15,7,14,19,-18.0,OKC
22009,0020900586,2010-01-16,WAS,96,241,38,80,0.475,3,13,0.231,17,23,0.739,10,29,39,19,6,8,10,23,10.0,SAC,86,239,31,83,0.373,7,23,0.304,17,19,0.895,12,29,41,20,5,8,15,23,-10.0,WAS
22009,0020900587,2010-01-16,DET,94,240,32,82,0.39,4,13,0.308,26,36,0.722,20,31,51,16,8,8,16,25,4.0,NYK,90,241,32,81,0.395,7,17,0.412,19,21,0.905,12,27,39,23,8,3,18,25,-4.0,DET
22009,0020900590,2010-01-16,UTA,112,239,44,78,0.564,8,16,0.5,16,26,0.615,6,37,43,28,13,3,20,17,17.0,MIL,95,242,35,81,0.432,11,24,0.458,14,21,0.667,8,32,40,24,13,3,18,21,-17.0,UTA
22009,0020900588,2010-01-16,MEM,92,241,36,83,0.434,3,9,0.333,17,27,0.63,17,34,51,14,8,9,15,15,6.0,SAS,86,240,36,87,0.414,7,21,0.333,7,12,0.583,12,32,44,14,6,9,16,23,-6.0,MEM
22009,0020900593,2010-01-17,DEN,119,240,36,74,0.486,6,21,0.286,41,49,0.837,8,32,40,16,14,4,16,23,7.0,UTA,112,240,42,81,0.519,8,18,0.444,20,27,0.741,7,32,39,30,7,2,20,29,-7.0,DEN
22009,0020900592,2010-01-17,TOR,110,241,44,90,0.489,7,16,0.438,15,22,0.682,12,33,45,28,6,6,5,18,22.0,DAL,88,241,36,80,0.45,5,15,0.333,11,16,0.688,8,33,41,23,5,4,10,20,-22.0,TOR
22009,0020900594,2010-01-18,NYK,99,240,36,73,0.493,10,22,0.455,17,22,0.773,7,32,39,21,4,6,18,20,8.0,DET,91,241,39,96,0.406,0,12,0.0,13,19,0.684,19,27,46,10,8,1,12,19,-8.0,NYK
22009,0020900600,2010-01-18,MIN,108,265,41,88,0.466,7,12,0.583,19,22,0.864,12,31,43,20,8,2,16,21,5.0,PHI,103,266,40,83,0.482,6,19,0.316,17,24,0.708,5,34,39,23,9,5,14,21,-5.0,MIN
22009,0020900604,2010-01-18,BOS,90,240,39,77,0.506,4,13,0.308,8,16,0.5,5,27,32,26,8,4,12,19,-9.0,DAL,99,240,39,68,0.574,4,7,0.571,17,24,0.708,4,31,35,28,3,7,14,16,9.0,DAL
22009,0020900596,2010-01-18,ATL,91,239,36,90,0.4,4,16,0.25,15,21,0.714,18,26,44,27,3,3,8,21,-3.0,OKC,94,239,34,76,0.447,4,9,0.444,22,26,0.846,14,34,48,22,3,3,11,17,3.0,OKC
22009,0020900602,2010-01-18,GSW,114,241,42,95,0.442,9,22,0.409,21,32,0.656,14,43,57,21,9,11,13,22,17.0,CHI,97,241,35,96,0.365,5,10,0.5,22,33,0.667,15,38,53,19,8,4,13,26,-17.0,GSW
22009,0020900598,2010-01-18,HOU,101,266,36,86,0.419,6,24,0.25,23,28,0.821,12,37,49,24,6,3,11,16,3.0,MIL,98,266,41,92,0.446,9,25,0.36,7,11,0.636,13,37,50,20,4,9,15,24,-3.0,HOU
22009,0020900595,2010-01-18,WAS,97,238,35,68,0.515,2,8,0.25,25,28,0.893,9,24,33,17,3,2,13,15,5.0,POR,92,240,37,82,0.451,3,17,0.176,15,16,0.938,15,24,39,19,6,3,14,23,-5.0,WAS
22009,0020900603,2010-01-18,MEM,125,241,45,89,0.506,9,19,0.474,26,32,0.813,10,32,42,22,7,8,15,15,7.0,PHX,118,240,47,96,0.49,10,29,0.345,14,19,0.737,15,31,46,24,9,8,16,22,-7.0,MEM
22009,0020900605,2010-01-18,LAL,98,241,38,89,0.427,6,18,0.333,16,22,0.727,10,34,44,18,8,2,5,16,6.0,ORL,92,242,36,82,0.439,11,33,0.333,9,15,0.6,9,36,45,23,2,5,12,24,-6.0,LAL
22009,0020900607,2010-01-19,MIA,113,240,45,80,0.563,10,17,0.588,13,19,0.684,6,39,45,18,10,9,14,23,30.0,IND,83,241,31,85,0.365,7,26,0.269,14,20,0.7,13,32,45,19,8,3,17,17,-30.0,MIA
22009,0020900606,2010-01-19,CLE,108,240,38,72,0.528,7,22,0.318,25,30,0.833,6,37,43,27,4,6,14,21,8.0,TOR,100,240,40,83,0.482,7,19,0.368,13,21,0.619,5,27,32,19,5,2,10,21,-8.0,CLE
22009,0020900608,2010-01-20,ATL,108,241,40,78,0.513,5,14,0.357,23,28,0.821,11,30,41,29,6,7,15,17,11.0,SAC,97,238,41,87,0.471,3,15,0.2,12,15,0.8,11,24,35,24,7,2,12,23,-11.0,ATL
22009,0020900612,2010-01-20,WAS,93,239,36,81,0.444,5,13,0.385,16,20,0.8,14,27,41,15,6,5,14,14,-1.0,DAL,94,241,39,85,0.459,4,20,0.2,12,14,0.857,12,29,41,27,9,9,11,19,1.0,DAL
22009,0020900615,2010-01-20,MIN,92,240,40,85,0.471,3,11,0.273,9,10,0.9,7,26,33,22,10,5,13,16,-2.0,OKC,94,240,34,74,0.459,8,17,0.471,18,21,0.857,7,32,39,22,7,6,18,16,2.0,OKC
22009,0020900619,2010-01-20,GSW,118,266,41,95,0.432,9,29,0.31,27,32,0.844,14,30,44,27,5,4,13,27,-5.0,DEN,123,265,42,88,0.477,9,19,0.474,30,43,0.698,17,38,55,18,7,5,14,28,5.0,DEN
22009,0020900611,2010-01-20,PHI,90,242,34,78,0.436,4,14,0.286,18,21,0.857,12,25,37,18,4,5,11,18,-8.0,POR,98,240,36,76,0.474,4,11,0.364,22,25,0.88,10,26,36,20,5,1,7,17,8.0,POR
22009,0020900614,2010-01-20,MIL,113,239,43,92,0.467,10,23,0.435,17,20,0.85,17,30,47,25,5,5,7,23,6.0,TOR,107,240,38,85,0.447,5,16,0.313,26,27,0.963,10,30,40,20,2,4,9,18,-6.0,MIL
22009,0020900613,2010-01-20,DET,92,239,36,85,0.424,4,14,0.286,16,21,0.762,13,32,45,19,9,7,15,23,6.0,BOS,86,240,30,70,0.429,5,19,0.263,21,28,0.75,5,30,35,16,12,7,18,20,-6.0,DET
22009,0020900618,2010-01-20,SAS,98,242,35,89,0.393,6,21,0.286,22,26,0.846,15,31,46,19,6,7,16,21,-7.0,UTA,105,241,37,79,0.468,3,11,0.273,28,32,0.875,6,39,45,30,6,9,11,23,7.0,UTA
22009,0020900610,2010-01-20,ORL,109,240,37,75,0.493,10,26,0.385,25,37,0.676,12,38,50,25,11,1,19,26,11.0,IND,98,240,34,76,0.447,6,24,0.25,24,33,0.727,7,28,35,13,11,2,19,27,-11.0,ORL
22009,0020900621,2010-01-21,CLE,93,238,34,71,0.479,6,18,0.333,19,25,0.76,6,42,48,21,3,4,13,22,6.0,LAL,87,241,32,83,0.386,8,23,0.348,15,24,0.625,15,28,43,18,6,3,8,21,-6.0,CLE
22009,0020900629,2010-01-22,DET,93,239,35,85,0.412,1,9,0.111,22,31,0.71,16,29,45,20,6,4,15,18,-12.0,IND,105,242,36,76,0.474,9,25,0.36,24,26,0.923,8,30,38,24,9,7,16,23,12.0,IND
22009,0020900623,2010-01-22,ORL,100,239,32,74,0.432,7,25,0.28,29,33,0.879,8,43,51,19,10,12,23,23,16.0,SAC,84,240,31,93,0.333,4,12,0.333,18,27,0.667,16,32,48,17,7,2,14,27,-16.0,ORL
22009,0020900633,2010-01-22,SAS,109,239,38,91,0.418,8,22,0.364,25,33,0.758,14,27,41,22,5,3,11,24,-7.0,HOU,116,241,43,78,0.551,8,16,0.5,22,27,0.815,7,36,43,27,9,5,15,29,7.0,HOU
22009,0020900630,2010-01-22,MEM,86,240,29,74,0.392,4,15,0.267,24,34,0.706,11,31,42,16,8,9,14,21,2.0,OKC,84,240,31,77,0.403,4,14,0.286,18,23,0.783,13,33,46,18,6,4,16,25,-2.0,MEM
22009,0020900635,2010-01-22,PHX,104,240,37,96,0.385,11,26,0.423,19,24,0.792,19,30,49,20,3,4,10,19,-11.0,CHI,115,240,43,85,0.506,6,14,0.429,23,28,0.821,8,34,42,19,8,11,7,16,11.0,CHI
22009,0020900626,2010-01-22,WAS,88,240,32,81,0.395,8,20,0.4,16,21,0.762,12,23,35,14,5,4,10,12,-24.0,MIA,112,241,45,79,0.57,13,22,0.591,9,12,0.75,9,37,46,29,7,5,11,14,24.0,MIA
22009,0020900628,2010-01-22,BOS,98,264,38,78,0.487,6,20,0.3,16,18,0.889,6,31,37,25,7,7,16,28,3.0,POR,95,265,34,89,0.382,5,25,0.2,22,27,0.815,16,30,46,19,6,1,14,18,-3.0,BOS
